event_id,event_name,club_name,category,date,start_time,end_time,address,description
51741,LCA x LBO Alumni Night,LCA,Other,29 March,"Sun, 29 Mar 2026 12:00 PM","Sun, 29 Mar 2026 3:00 PM","Wilfrid Laurier University Waterloo Campus, University Avenue West, Waterloo, ON, Canada","Curious about where a science degree from Laurier can take you? Join us for Laurier Science Alumni Night, where alumni from a variety of science backgrounds will share their career journeys, experiences after graduation, and insights into life beyond undergrad. This is a great opportunity to learn about different career paths, ask honest questions, and gain advice on grad school, professional programs, and entering the workforce."
56668,Leaders of Laurier Pitch Night,Leaders of Laurier (Waterloo),Sport/Competition,29 March,"Sun, 29 Mar 2026 12:00 PM","Sun, 29 Mar 2026 3:00 PM","Wilfrid Laurier University Waterloo Campus, University Avenue West, Waterloo, ON, Canada","Leaders of Laurier Pitch Night is a flagship competition where students present real ventures and initiatives to a panel of judges for prizes and recognition. Finalists will deliver short pitches followed by a Q&A with judges, with projects evaluated based on execution, impact, feasibility, and clarity of presentation. The event will also include networking opportunities and catered food, allowing attendees to connect with student founders, innovators, and leaders across campus."
54843,Service Business Laurier Spikeball Tournament,Service Business Laurier (Waterloo),Sport/Competition,29 March,"Sun, 29 Mar 2026 1:00 PM","Sun, 29 Mar 2026 4:00 PM","Ansley Alumni Field, University Avenue West, Waterloo, ON, Canada",Join Service Business Laurier for our annual Spikeball Tournament in support of the Canadian Cancer Society! Teams will compete in a tournament style bracket with prizes awarded to the winners. Open to all Laurier students. Limited team spots available.
56951,Laurier Computing Society Hackathon,Laurier Computing Society (LCS) (Waterloo),Sport/Competition,29 March,"Sun, 29 Mar 2026 1:00 PM","Sun, 29 Mar 2026 10:00 PM","Wilfrid Laurier University Waterloo Campus, University Avenue West, Waterloo, ON, Canada","This is a hackathon hosted by our club that will be a low scale hackathon. Be prepared for amazing prizes, snacks, and show off your coding. designing, and prototyping skills!"
51931,Greek Independence Day Parade ,Hellenic Students Association (Waterloo),Party/BBQ/Social,29 March,"Sun, 29 Mar 2026 1:30 PM","Sun, 29 Mar 2026 5:30 PM","30 Thorncliffe Park Drive, East York, ON, Canada","The Greek Independence Day Parade is a vibrant celebration of Greek history and culture, featuring traditional music, dance, colourful costumes, and community organizations marching through the streets in honour of 1821. The event brings together families, students, and cultural groups to celebrate heritage, unity, and pride. The Hellenic Students Association (HSA) will be proudly participating in this year’s parade, representing our community and celebrating our shared traditions. If you want to support Greek Independence Day, join HSA!"
49795,LCG Networking Mixer,Laurier Consulting Club (LCC) (Waterloo),Industry/Career,29 March,"Sun, 29 Mar 2026 2:00 PM","Sun, 29 Mar 2026 5:00 PM","Wilfrid Laurier University Waterloo Campus, University Avenue West, Waterloo, ON, Canada","Curious about consulting and want to see what LCG is all about? Join us on March 29th from 2:00-5:00PM at the LCG Networking Mixer for a chance to see real consulting work in action and connect directly with industry professionals. Top LCG teams will present their strategic recommendations from the term to representatives from leading consulting firms, giving attendees an inside look at how consulting projects are developed and delivered.This event is a valuable opportunity to learn more about the club, network with current consultants and firm representatives, and increase visibility when applying for Consultant or Associate roles in the upcoming term. Whether you’re exploring consulting or looking to stand out, this mixer offers meaningful connections, real insights, and a strong first step into the consulting space."
52749,FURC 2026 Keynote- Dr. Roberta Bondar,FOSSA,Industry/Career,29 March,"Sun, 29 Mar 2026 7:00 PM","Sun, 29 Mar 2026 8:00 PM","Wilfrid Laurier University Waterloo Campus, University Avenue West, Waterloo, ON, Canada","We are thrilled to announce that Dr. Roberta Bondar will be the keynote speaker for this year’s FOSSA Undergraduate Research Conference! Dr. Bondar, the first Canadian woman and the world’s first neurologist in space , will be joining us to share reflections on her remarkable career at the intersection of neuroscience, medicine, and space exploration. She will also speak to the next generation of researchers about the future of science, innovation, and discovery."
51350,Sunday Game Night! ,GHG,Other,29 March,"Sun, 29 Mar 2026 9:00 PM","Sun, 29 Mar 2026 11:59 PM",Online Event,"In addition to our regular Friday Game Night, the club will be implementing another one every Sunday! During this event, we will playing games including, but not limited to, Jackbox, Gartic Phone, Just Act Natural, and much more! We look forward to seeing everyone at this new event!"
56649,FOMSA's Gotcha!,FOMSA,Other,30 March,"Mon, 30 Mar 2026 8:00 AM","Tue, 7 Apr 2026 4:00 PM","Wilfrid Laurier University Waterloo Campus, University Avenue West, Waterloo, ON, Canada","FOMSA is inviting you to play a campus-wide game of Gotcha.Registration will take place Friday, March 28th from 10:00 AM – 12:00 PM on the third floor of the Savaas Chamberlain Music Building. Drop by the FOMSA booth to sign up! There’s a $2 registration fee (to help cover the cost of the mystery prize), and you’ll need to provide your mylaurier email and a photo of yourself (you can take one on the spot). You’ll also receive a personalized sheet of stickers with your initials, these are how you’ll officially tag your targets once the game begins.After registration closes, the FOMSA exec team will spend the weekend assigning targets. You’ll receive your first target by email no later than 4:00 PM on Sunday, March 30th, 2025. The game runs from 8:00 AM on March 31st, 2025 until 4:00 PM on April 4th, 2025. The winner will be announced and receive their prize at the FOMSA Formal on the evening of April 4th."
56494,FOMSA Spirit Week,FOMSA,Other,30 March,"Mon, 30 Mar 2026 8:00 AM","Fri, 3 Apr 2026 8:00 PM","Wilfrid Laurier University Waterloo Campus, University Avenue West, Waterloo, ON, Canada","FOMSA Spirit Week is coming up from March 30th to April 3rd — time to show off your creativity and faculty pride! Participate in as many days as you’d like and earn bonus points in GOTCHA! just for participating!Monday, March 30: Dress up as a prof/twin day!Tuesday, March 31: Weird accessory day!Wednesday, April 1: Anything but a backpack day!Thursday, April 2: Dress as your instrument day!Friday, April 3: Dress as your favourite composer day!"
48521,FOSSA Fuel ,FOSSA,Other,30 March,"Mon, 30 Mar 2026 9:00 AM","Mon, 30 Mar 2026 11:00 AM","75 University Ave W, Waterloo, ON N2L 3C5","FOSSA will be hosting a FOSSA Fuel Event on Monday February 2,9,23 and Monday March 2,9,16,23 and 30 from 9:00 am to 11:00 am in the Science Atrium. This event is designed to ensure students get the proper nutrition to fuel their studies. The goal is to promote student wellness, support students, reduce stress, and foster community engagement within the Faculty of Science."
