event_id,title,club_name,categories,start_time,end_time,location,price,food,registration_required,status,description,image_url,school,club_type,ig_handle,source_url
4920,Women & Gender Minorities Tournament,"Debate Society, UW (Debating Association)","Academic, Social & Games","Sat, 28 Mar 2026 12:30 PM UTC","Sun, 29 Mar 2026 09:30 PM UTC",Online or in person,75.0,Lunch,True,CONFIRMED,"LAST CHANCE TO SIGN UP IS EOD WED MARCH 18 🔔

Fill out the form (link on our story) ASAP to secure your spot
https://docs.google.com/forms/d/e/1FAIpQLSdnkN9xzriQFN9cSn3gFf9uavDmpamRiYdzUBMsBGTx_4YIIQ/viewform 

Learn more about the tournament on our Facebook page:
https://www.facebook.com/events/university-of-waterloo/cusid-wgm-championship-2026/1253018333393440/ 

Our team has been working hard to make this tournament as accessible, and as fun as possible. Don’t miss it! 💋💌🫖",https://bug-free-octo-spork.s3.us-east-2.amazonaws.com/events/6d5e9403-3dc4-4d57-89ba-afcd846bed73.jpg,University of Waterloo,WUSA,uwdebate,https://www.instagram.com/p/DV_aGQgDU9F/
4432,AFSA Tax Clinic,Accounting & Finance Student Association,Career & Networking,"Sun, 29 Mar 2026 02:00 PM UTC","Sun, 29 Mar 2026 11:30 PM UTC",,,,False,CONFIRMED,"Need help filing your taxes? We’ve got you covered. Join us on March 21, 22, 28, and 29 from 10:00 AM – 7:30 PM.

See website for more details
www.taxclinic.uwaterloo.ca

Save the date and stay tuned for more details!",https://bug-free-octo-spork.s3.us-east-2.amazonaws.com/events/dd6397c6-b3c3-44bf-885f-e2bdcc8a5ef0.jpg,University of Waterloo,Student Society,uwafsa,https://www.instagram.com/p/DVMY3y4icry/
5007,Battle of the Barbells Mock Meet,Strength Club,Athletics,"Sun, 29 Mar 2026 02:00 PM UTC","Sun, 29 Mar 2026 06:00 PM UTC",PAC Fitness Centre,,,False,CONFIRMED,"It's back, think you’ve got what it takes to step on the platform? Now’s your chance.

Join us for an action-packed mock meet where strength, energy, and competition come together. Whether you’re testing your limits or just getting a feel for competition day, this is the perfect opportunity to lift, learn, and have fun with the community.

📅 Sunday, March 29, 2026
⏰ 10:00 AM – 2:00 PM
📍 PAC Fitness Centre

Presented by UWSC with support from Odyssey & SBD

Bring your best lifts, your hype crew, and your competitive spirit—let’s see who wins the Battle of the Barbells.",https://bug-free-octo-spork.s3.us-east-2.amazonaws.com/events/85e59b52-3f16-4d47-a37c-38fe95013f6a.jpg,University of Waterloo,Athletics,uwstrengthclub,https://www.instagram.com/p/DWFImCHCUHa/
4254,Ground FX 2026,"Breakers,UW","Creative Arts, Social & Games","Sun, 29 Mar 2026 04:00 PM UTC",,SLC Lower Atrium,10.0,,False,CONFIRMED,"CALLING ALL BREAKERS 🚨🚨 WE ARE PLEASED
TO ANNOUNCE GROUND FX 2026!
 ------------------------------------------------------------------------------ 
Details: 

🕺 3V3 BREAKING BATTLE 
💰 CASH PRIZE: 1ST: $400 2ND: $250
🎫 $10/CREW MEMBER ENTRY 
📍 UNIVERSITY OF WATERLOO, STUDENT LIFE CENTRE, WATERLOO, ONTARIO 

FEATURING: 

- The return of the iconic GFX 3v3 breaking battle (main event) 
- Performances from University of Waterloo Dance crews
- @kybaliontafiya Advanced breaking workshop ($10 ENTRY) 

A day of fun, dance, and community!

 ARTISTS:
- MC SWITCH B (@switchbfam) 
- DJ M4RS (@marsbtx)
- WORKSHOP HOST @kybaliontafiya 
- JUDGES (3x) Take a guess...

*Funding for this event is generously provided by the @yourwusa Student Life Endowment Fund.

*Funding for the event generously provided by the Arts Endowment Fund.

 ------------------------------------------------------------------------------ 

For more information, please head over to the event page on Facebook:

https://facebook.com/events/s/ground-fx-2026-breaking-compet/2760084247678794/

#waterloo #dance #breaking #streetdance #competition",https://bug-free-octo-spork.s3.us-east-2.amazonaws.com/events/8f987f7d-9a03-4655-bf2b-3c5614028c7e.jpg,University of Waterloo,WUSA,uw_breakers,https://www.instagram.com/p/DUl6_9tEd24/
5078,End Of Term Competition,Climbing Club,Athletics,"Sun, 29 Mar 2026 04:30 PM UTC","Sun, 29 Mar 2026 06:30 PM UTC",PAC Climbing Wall,18.0,,True,CONFIRMED,"Come to the PAC Climbing Wall on Sunday, March 29th for our End of Term Competition! Everyone has a chance to win one of our many raffle prizes, and to compete for a prize in beginner/intermediate/advanced 🎉

Event Details:
4 sessions (20 spots each): 
-10:00–12:00
-12:30–2:30
-3:00–5:00
-5:30–7:30
(Arrive 15 mins early for check-in and warm-up!)

Pricing:
-$10 for WLOOCC members
-$18 for non-members
-$5 off for the first 5 signups per session 💸
(PAC membership not required)

Extras:
-Club members get 1 bonus raffle ticket 🎟️
-Sponsored goods and this term’s shirts while supplies last 🧃👕

Sign up for the comp and get your membership through the link in bio 🔗",https://bug-free-octo-spork.s3.us-east-2.amazonaws.com/events/55f81f70-e5a2-4c5b-ad6d-65afee65a981.jpg,University of Waterloo,Athletics,wlooclimbingclub,https://www.instagram.com/p/DWPWujdD_27/
5113,Last Mini Game,Humans vs. Zombies Society,Social & Games,"Sun, 29 Mar 2026 05:00 PM UTC","Sun, 29 Mar 2026 09:00 PM UTC",RCH 101,,,False,CONFIRMED,"Our last minigames of the term will be held this Sunday, March 29 at 1 PM to 5PM. Meet in room 101 RCH.

Blasters will be available to borrow, but as always, feel free to bring your own equipment. No sign-ups are required and we will welcome all new and returning players!",https://bug-free-octo-spork.s3.us-east-2.amazonaws.com/events/943b862e-681f-4d52-be85-384655fe3d52.jpg,University of Waterloo,WUSA,uwhvz,https://www.instagram.com/p/DWT21iCjsii/
4610,Dear Evan Hansen,Hillel Waterloo,"Creative Arts, Religious","Sun, 29 Mar 2026 06:00 PM UTC",,"St Jacobs Country Playhouse, St Jacobs, ON",20.0,,True,CONFIRMED,"We are so excited to announce that we are giving you guys the opportunity to come with us to see Dear Evan Hansen in St Jacobs!

Dear Evan Hansen tells the story of a young boy dealing with social anxiety in high school. When a tragic incident event his local community, Evan goes through an emotional journey to understand the weight of his actions when he decides to create a lie that goes too far.

The performance is on March 29th @ 2 PM at the St Jacobs Country Playhouse. Tickets are $20. RSVP at link in bio to reserve your spot! Get them before they’re GONE. You won’t want to miss this!

See you guys at the theatre 🎭",https://bug-free-octo-spork.s3.us-east-2.amazonaws.com/events/b2dcee84-2e36-46e7-967e-a1306b7e5e78.jpg,University of Waterloo,WUSA,hillelwaterloolaurier,https://www.instagram.com/p/DVeNZDhEav_/
5035,Tafiya Breaking Workshop,"Breakers,UW","Creative Arts, Cultural","Sun, 29 Mar 2026 06:00 PM UTC","Sun, 29 Mar 2026 07:30 PM UTC",SLC Lower Atrium,10.0,,False,CONFIRMED,"Meet our workshop host, Tafiya [Kybalion Movement/The World Serpent/ChallengerDeep/FloorGangz]!

-----------------------------------------------------------------------------------
$10 PER PERSON FOR WORKSHOP
-----------------------------------------------------------------------------------
DIRECTIONS:
Location: University of Waterloo, Student Life Centre, Lower Atrium, 200 University Ave W, Waterloo, ON N2L 3G1

Tafiya Itiaba-Bayah is an Afro-Canadian movement artist with roots in Saint Lucia and Ghana, representing four international street dance collectives: Kybalion Movement, The World Serpent, ChallengerDeep and FloorGangz. While holding a degree from Ontario College of Art and Design, he has worked with movement and street dance styles (breaking, hip-hop, and house) as his primary method of expression and exploration.",https://bug-free-octo-spork.s3.us-east-2.amazonaws.com/events/a73ac300-9331-42da-8a62-467557c70c6e.jpg,University of Waterloo,WUSA,uw_breakers,https://www.instagram.com/p/DWHsh1tkcw1/
3617,Table Tennis Club Sessions,Table Tennis Club,Athletics,"Sun, 29 Mar 2026 06:30 PM UTC","Sun, 29 Mar 2026 09:00 PM UTC","PAC Activity Area, 3rd Floor",,,True,CONFIRMED,Join us this term! Sign up using the link provided in our bio.,https://bug-free-octo-spork.s3.us-east-2.amazonaws.com/events/d327d1f8-dacb-44f8-8d4b-9c257180d228.jpg,University of Waterloo,Athletics,uwaterloottc,https://www.instagram.com/p/DTbG2WfkZ9r/
4845,University Of Waterloo Table Tennis Club Tournament,Table Tennis Club,"Social & Games, Athletics","Sun, 29 Mar 2026 06:30 PM UTC","Sun, 29 Mar 2026 09:00 PM UTC","PAC Activity Area, 3rd Floor, North",,,True,CONFIRMED,"Link in Bio ! Register now for our end of term in house tournament. 
Deadline to register: March 20th, 2026

Please be at least 5 minutes early for the tournament. Hope to see you there.",https://bug-free-octo-spork.s3.us-east-2.amazonaws.com/events/87d76026-a33d-4d47-ba41-d9421e61a293.jpg,University of Waterloo,Athletics,uwaterloottc,https://www.instagram.com/p/DV4D8s7gbNC/
